student_country,date_registered,Number of Courses Taken,Number of engagement_quizzes,Number of engagement_exams,Number of engagement_lessons,Number of date_engaged,Total minutes_watched,Total Number of date_watched,Number_of_Exams_Attempted,Number of Exams_Taken,Average_Exam_Result,Average_Exam_Completion_Time,Switch
NG,3/7/2022,1,2,1,2,3,56,2,1,1,58,2.13,1
NL,3/8/2022,1,2,0,3,3,92,3,0,0,0,0,1
CA,3/11/2022,5,3,1,9,9,126.2,9,1,1,83,6.03,1
PK,3/11/2022,2,1,0,5,5,14.9,5,0,0,0,0,1
FI,3/11/2022,3,3,1,8,8,340.5,8,1,1,67,5.77,1
IN,3/13/2022,1,1,0,1,1,0.5,1,0,0,0,0,1
CA,3/14/2022,3,0,1,4,4,83.2,4,1,1,83.5,4.32,1
CA,3/16/2022,1,3,0,7,7,96.4,7,0,0,0,0,1
US,3/18/2022,2,0,0,3,3,3.9,3,0,0,0,0,1
DE,3/18/2022,1,0,0,1,1,2.1,1,0,0,0,0,1
NL,3/20/2022,1,0,0,1,1,1.9,1,0,0,0,0,1
GB,3/27/2022,0,0,0,0,0,0,0,0,0,0,0,1
PT,3/29/2022,2,1,0,4,4,155,4,0,0,0,0,1
US,3/29/2022,1,0,0,2,2,5.7,2,0,0,0,0,1
CA,3/31/2022,1,1,0,1,1,12.3,1,0,0,0,0,1
US,3/31/2022,1,0,0,1,1,1.1,1,0,0,0,0,1
IN,4/2/2022,1,1,0,1,1,25.7,1,0,0,0,0,1
CA,4/3/2022,1,1,0,2,2,19,2,0,0,0,0,1
NG,4/3/2022,1,2,0,2,2,38.5,2,0,0,0,0,1
IN,4/5/2022,1,0,0,1,1,0.1,1,0,0,0,0,1
DK,4/7/2022,1,0,0,1,1,3.6,1,0,0,0,0,1
IN,4/7/2022,1,0,0,1,1,1.6,1,0,0,0,0,1
CA,4/9/2022,1,1,0,1,1,7.9,1,0,0,0,0,1
US,4/9/2022,0,0,0,0,0,0,0,0,0,0,0,1
GB,4/9/2022,1,1,0,1,1,28.9,1,0,0,0,0,1
KZ,4/11/2022,1,2,1,2,2,40.5,2,1,1,66.5,4.56,1
US,4/11/2022,0,0,0,0,0,0,0,0,0,0,0,1
CO,4/12/2022,1,0,0,1,1,0.5,1,0,0,0,0,1
BS,4/13/2022,1,1,0,2,2,8.5,2,0,0,0,0,1
GB,4/15/2022,0,0,0,0,0,0,0,0,0,0,0,1
US,4/15/2022,0,0,0,0,0,0,0,0,0,0,0,1
US,4/16/2022,5,2,2,12,12,542.7,12,2,2,50,9.44,1
US,4/17/2022,1,1,0,1,1,24.9,1,0,0,0,0,1
US,4/17/2022,1,0,0,1,1,1.6,1,0,0,0,0,1
EE,4/17/2022,1,2,0,2,2,23.3,2,0,0,0,0,1
US,4/18/2022,3,2,2,3,3,301,3,2,2,79.12,7.98,1
US,4/18/2022,0,0,0,0,0,0,0,0,0,0,0,1
HK,4/18/2022,1,0,3,11,11,380.3,11,3,3,57.25,10.2,1
NG,4/18/2022,2,2,1,2,2,113.2,2,1,1,91.5,3.03,1
US,4/19/2022,0,0,0,0,0,0,0,0,0,0,0,1
US,4/22/2022,0,0,0,0,0,0,0,0,0,0,0,1
TN,4/24/2022,1,1,0,2,2,37.7,2,0,0,0,0,1
US,4/24/2022,1,0,0,1,1,0.8,1,0,0,0,0,1
DE,4/25/2022,1,4,0,6,6,87,6,0,0,0,0,1
US,4/25/2022,0,0,0,0,0,0,0,0,0,0,0,1
US,4/25/2022,0,0,0,0,0,0,0,0,0,0,0,1
US,4/25/2022,1,0,0,2,2,6,2,0,0,0,0,1
IN,4/27/2022,1,1,0,2,2,47.1,2,0,0,0,0,1
NA,4/27/2022,1,1,0,1,1,6.2,1,0,0,0,0,1
IN,4/27/2022,1,1,0,1,1,11.1,1,0,0,0,0,1
US,4/28/2022,1,0,0,1,1,6,1,0,0,0,0,1
KR,5/1/2022,2,0,0,2,2,9.1,2,0,0,0,0,1
IE,5/4/2022,1,2,1,2,3,136.8,2,1,1,50,9.57,1
GB,5/5/2022,3,4,0,5,5,115.7,5,0,0,0,0,1
GR,5/7/2022,1,0,0,1,1,10.2,1,0,0,0,0,1
US,5/7/2022,0,0,0,0,0,0,0,0,0,0,0,1
GB,5/8/2022,1,0,0,2,2,41.2,2,0,0,0,0,1
IT,5/10/2022,1,1,1,1,1,42.9,1,1,1,17,2.58,1
EG,5/12/2022,1,2,0,2,2,36.9,2,0,0,0,0,1
US,5/13/2022,1,1,1,1,1,48.3,1,1,1,83.5,3.83,1
CA,5/13/2022,2,2,0,5,5,279.6,5,0,0,0,0,1
NL,5/18/2022,1,0,0,1,1,2.9,1,0,0,0,0,1
BE,5/19/2022,2,2,2,3,3,294.8,3,2,2,66.6,11.39,1
CR,5/23/2022,2,1,1,3,3,100,3,1,1,17,14.07,1
SV,5/24/2022,1,0,0,1,1,3.3,1,0,0,0,0,1
AE,5/25/2022,7,4,3,8,8,778.8,8,3,3,65,4.48,1
US,5/27/2022,1,3,1,5,5,70.3,5,1,1,0,10,1
SG,5/29/2022,2,1,0,2,2,27.3,2,0,0,0,0,1
IN,5/30/2022,2,2,1,5,5,174.1,5,1,1,50,8.5,1
SA,5/30/2022,2,0,0,4,4,34.8,4,0,0,0,0,1
IN,5/31/2022,2,2,1,3,3,142.8,3,1,1,50,2.38,1
IN,6/1/2022,2,1,0,5,5,465.2,5,0,0,0,0,1
EG,6/1/2022,2,1,0,3,3,16.4,3,0,0,0,0,1
US,6/1/2022,1,3,1,2,3,9.2,2,1,1,75,2.88,1
US,6/7/2022,2,1,0,3,3,12,3,0,0,0,0,1
US,6/9/2022,6,2,0,9,9,102.5,9,0,0,0,0,1
CA,6/11/2022,2,1,0,2,2,77.4,2,0,0,0,0,1
US,6/13/2022,1,2,1,2,2,41.1,2,1,1,83.5,2.62,1
JO,6/14/2022,1,0,0,1,1,0.1,1,0,0,0,0,1
IN,6/15/2022,6,6,2,8,8,1035.6,8,2,2,62.22,6.34,1
US,6/15/2022,0,0,0,0,0,0,0,0,0,0,0,1
CA,6/15/2022,1,0,0,1,1,1.7,1,0,0,0,0,1
SG,6/19/2022,1,0,0,3,3,31.4,3,0,0,0,0,1
GB,6/19/2022,1,1,0,1,1,10.8,1,0,0,0,0,1
US,6/20/2022,2,0,0,3,3,20.1,3,0,0,0,0,1
US,6/21/2022,1,1,0,1,1,35.7,1,0,0,0,0,1
ET,6/23/2022,1,1,0,1,1,53.1,1,0,0,0,0,1
US,6/23/2022,0,0,0,0,0,0,0,0,0,0,0,1
DE,6/25/2022,1,2,0,2,2,40.9,2,0,0,0,0,1
GB,6/27/2022,1,1,0,1,1,12.8,1,0,0,0,0,1
NG,6/28/2022,7,16,2,23,23,433.3,23,2,2,76.8,5.2,1
KE,6/28/2022,1,3,0,5,5,130.8,5,0,0,0,0,1
AU,6/28/2022,1,0,0,3,3,23.7,3,0,0,0,0,1
IN,6/29/2022,8,3,1,12,12,155.6,12,1,1,75,18.74,1
MT,7/3/2022,2,0,0,4,4,7.8,4,0,0,0,0,1
SE,7/4/2022,2,0,0,2,2,8.7,2,0,0,0,0,1
GB,7/5/2022,1,0,0,1,1,35.5,1,0,0,0,0,1
CA,7/5/2022,1,0,0,1,1,0.8,1,0,0,0,0,1
EG,7/5/2022,1,1,0,1,1,60.8,1,0,0,0,0,1
US,7/7/2022,0,0,0,0,0,0,0,0,0,0,0,1
US,7/9/2022,2,4,1,8,9,76,8,1,1,75,1.37,1
US,7/9/2022,1,3,1,3,3,82.8,3,1,1,66.5,5.03,1
US,7/11/2022,1,0,0,9,9,153.7,9,0,0,0,0,1
CN,7/11/2022,1,4,1,6,6,80.7,6,1,1,83,5.32,1
FR,7/12/2022,4,1,0,9,9,153.8,9,0,0,0,0,1
US,7/21/2022,0,0,0,0,0,0,0,0,0,0,0,1
US,7/23/2022,1,0,0,2,2,37.2,2,0,0,0,0,1
CA,7/25/2022,8,6,2,11,11,287.7,11,2,2,77.67,10.36,1
US,7/26/2022,4,1,0,4,4,20.1,4,0,0,0,0,1
PT,8/2/2022,6,8,0,9,9,444.4,9,0,0,0,0,1
US,8/2/2022,2,2,1,2,2,138.3,2,1,1,50,3.75,1
US,8/9/2022,5,5,1,14,14,301.4,14,1,1,83.5,4.81,1
ID,8/10/2022,1,5,0,5,5,72.7,5,0,0,0,0,1
US,8/12/2022,0,0,0,0,0,0,0,0,0,0,0,1
US,8/15/2022,1,1,1,1,1,42.6,1,1,1,83.5,2.23,1
BW,8/15/2022,2,7,1,9,9,150.3,9,1,1,33,23.6,1
US,8/15/2022,0,0,0,0,0,0,0,0,0,0,0,1
GB,8/24/2022,0,0,0,0,0,0,0,0,0,0,0,1
VC,8/25/2022,1,1,1,1,1,47.1,1,1,1,91.5,4.05,1
DE,8/30/2022,1,1,1,1,1,50.9,1,1,1,83.5,3.19,1
US,8/31/2022,0,0,0,0,0,0,0,0,0,0,0,1
GB,9/17/2022,0,0,0,0,0,0,0,0,0,0,0,1
GB,10/13/2022,0,0,0,0,0,5.8,0,0,0,0,0,0
ID,8/15/2022,0,0,0,0,0,0.7,1,0,0,0,0,0
US,7/19/2022,0,0,0,0,0,0.8,1,0,0,0,0,0
IN,5/4/2022,1,0,0,0,0,0,0,0,0,0,0,0
MA,10/4/2022,0,0,0,1,1,5.9,0,0,0,0,0,0
IN,9/29/2022,1,0,0,1,1,0,0,0,0,0,0,0
IN,2/24/2022,0,0,0,1,1,1.6,0,0,0,0,0,0
IN,9/8/2022,0,0,0,1,1,0,0,0,0,0,0,0
GB,7/5/2022,1,0,0,0,0,14.9,1,0,0,0,0,0
AU,8/28/2022,0,0,0,1,0,2.9,1,0,0,0,0,0
SG,9/15/2022,1,0,0,0,0,0.6,1,0,0,0,0,0
MA,8/23/2022,1,0,0,0,1,0,0,0,0,0,0,0
IN,6/18/2022,1,1,0,0,0,6.6,0,0,0,0,0,0
VN,2/3/2022,0,0,0,0,0,0,0,0,0,0,0,0
BG,8/17/2022,1,0,0,0,0,0,0,0,0,0,0,0
TR,9/2/2022,0,0,0,0,0,0,1,0,0,0,0,0
EG,5/22/2022,0,0,0,0,0,0.1,0,0,0,0,0,0
BE,8/12/2022,0,0,0,1,0,0,0,0,0,0,0,0
EG,4/4/2022,0,0,0,0,0,0,0,0,0,0,0,0
AZ,8/22/2022,1,0,0,1,0,0,0,0,0,0,0,0
PT,1/15/2022,0,0,0,0,0,1.2,0,0,0,0,0,0
AU,6/11/2022,0,0,0,0,0,0,0,0,0,0,0,0
US,9/8/2022,0,0,0,0,0,0,0,0,0,0,0,0
NG,4/12/2022,1,0,0,0,0,0,0,0,0,0,0,0
US,8/9/2022,0,0,0,1,0,0,1,0,0,0,0,0
EG,6/2/2022,1,0,0,0,1,0,1,0,0,0,0,0
US,8/15/2022,1,0,0,0,1,0,0,0,0,0,0,0
US,5/30/2022,0,0,0,0,1,0,0,0,0,0,0,0
IN,4/26/2022,1,1,0,1,1,0,0,0,0,0,0,0
VN,2/9/2022,0,0,0,0,0,0,1,0,0,0,0,0
VN,10/9/2022,0,0,0,0,0,0.1,0,0,0,0,0,0
AZ,2/14/2022,0,0,0,0,0,0.9,0,0,0,0,0,0
KW,9/13/2022,0,0,0,0,1,1.9,0,0,0,0,0,0
IN,6/18/2022,0,0,0,0,1,0.7,1,0,0,0,0,0
EG,2/19/2022,0,0,0,0,0,0,0,0,0,0,0,0
ID,4/11/2022,0,0,0,1,0,0,0,0,0,0,0,0
KZ,6/14/2022,0,0,0,0,1,0,1,0,0,0,0,0
FR,8/4/2022,1,0,0,0,1,0,0,0,0,0,0,0
EG,6/5/2022,0,0,0,1,0,0,0,0,0,0,0,0
NG,8/6/2022,1,0,0,1,0,0,0,0,0,0,0,0
BD,3/24/2022,0,0,0,1,0,0,0,0,0,0,0,0
NL,8/31/2022,1,0,0,0,1,6.3,0,0,0,0,0,0
DE,6/1/2022,0,0,0,1,1,0,0,0,0,0,0,0
IN,3/24/2022,0,0,0,1,0,0,0,0,0,0,0,0
VN,4/19/2022,0,0,0,1,1,2.1,0,0,0,0,0,0
IN,5/28/2022,1,0,0,1,0,0,0,0,0,0,0,0
US,9/30/2022,1,1,0,0,0,0,0,0,0,0,0,0
CN,7/1/2022,0,0,0,0,1,0,0,0,0,0,0,0
PL,6/3/2022,1,0,0,0,0,10.9,0,0,0,0,0,0
US,3/15/2022,0,1,0,0,0,0,1,0,0,0,0,0
PK,10/10/2022,0,0,0,0,0,0,1,0,0,0,0,0
NG,5/13/2022,0,0,0,1,0,0,1,0,0,0,0,0
AZ,5/6/2022,0,0,0,0,1,0.1,0,0,0,0,0,0
US,6/23/2022,0,0,0,0,0,2.7,1,0,0,0,0,0
US,9/20/2022,0,0,0,0,0,0.3,0,0,0,0,0,0
AU,4/9/2022,0,1,0,1,1,9.2,1,0,0,0,0,0
FR,4/5/2022,0,0,0,1,1,0.3,1,0,0,0,0,0
IN,3/2/2022,0,0,0,1,1,14.4,0,0,0,0,0,0
BR,2/4/2022,1,0,0,0,0,0.6,1,0,0,0,0,0
BR,6/20/2022,0,0,0,1,1,0,1,0,0,0,0,0
NG,8/17/2022,1,0,0,0,0,0,0,0,0,0,0,0
DE,5/23/2022,0,0,0,1,1,0.3,0,0,0,0,0,0
US,1/14/2022,0,0,0,1,0,1.5,1,0,0,0,0,0
IN,8/29/2022,0,0,0,0,0,0.1,0,0,0,0,0,0
EG,8/27/2022,0,0,0,0,1,0,1,0,0,0,0,0
EG,8/19/2022,0,0,0,0,0,0,0,0,0,0,0,0
EG,4/19/2022,0,1,0,0,0,3.5,0,0,0,0,0,0
US,6/15/2022,0,0,0,1,1,0,1,0,0,0,0,0
GB,1/1/2022,0,0,0,1,0,8,0,0,0,0,0,0
NO,1/31/2022,0,0,0,1,0,0,1,0,0,0,0,0
MX,6/19/2022,0,0,0,0,0,0,0,0,0,0,0,0
EG,4/10/2022,0,0,0,0,0,0,1,0,0,0,0,0
PK,6/13/2022,0,0,0,0,0,0,0,0,0,0,0,0
IN,3/11/2022,1,0,0,0,0,10.2,0,0,0,0,0,0
BG,10/3/2022,0,0,0,1,0,0,1,0,0,0,0,0
KZ,10/7/2022,0,0,0,0,0,1.4,1,0,0,0,0,0
SD,6/4/2022,0,0,0,0,0,0,0,0,0,0,0,0
IN,8/27/2022,1,0,0,0,0,0,0,0,0,0,0,0
ID,9/19/2022,0,0,0,0,1,4.4,0,0,0,0,0,0
BD,8/26/2022,1,0,0,0,0,0,0,0,0,0,0,0
EG,1/30/2022,0,0,0,1,1,0,1,0,0,0,0,0
IE,8/20/2022,0,0,0,0,0,2.4,1,0,0,0,0,0
PT,2/16/2022,1,0,0,1,1,0,0,0,0,0,0,0
IN,8/11/2022,0,0,0,1,0,0,0,0,0,0,0,0
AE,2/18/2022,0,0,0,0,0,0,0,0,0,0,0,0
AZ,5/13/2022,0,0,0,0,1,0,0,0,0,0,0,0
EG,6/27/2022,1,0,0,0,0,0,0,0,0,0,0,0
IE,4/1/2022,0,0,0,1,0,1.4,0,0,0,0,0,0
EG,8/15/2022,1,0,0,1,1,9.3,0,0,0,0,0,0
US,10/13/2022,0,0,0,1,0,0,0,0,0,0,0,0
LB,8/16/2022,0,0,0,0,0,0,1,0,0,0,0,0
IN,1/23/2022,1,0,0,0,0,0,0,0,0,0,0,0
IN,6/4/2022,1,1,0,1,1,0,0,0,0,0,0,0
US,5/5/2022,1,1,0,0,1,0,1,0,0,0,0,0
PK,7/13/2022,1,0,0,0,0,0,1,0,0,0,0,0
ID,7/3/2022,0,0,0,0,0,0,0,0,0,0,0,0
MX,9/12/2022,0,0,0,1,0,0.1,0,0,0,0,0,0
GB,1/27/2022,0,0,0,0,0,0,1,0,0,0,0,0
DE,6/2/2022,0,0,0,0,0,0,0,0,0,0,0,0
US,1/16/2022,0,0,0,1,0,0,0,0,0,0,0,0
NL,8/15/2022,0,0,0,0,0,0.2,0,0,0,0,0,0
CA,5/27/2022,0,0,0,1,0,0,1,0,0,0,0,0
US,8/3/2022,1,0,0,0,0,0.1,0,0,0,0,0,0
PH,6/3/2022,0,0,0,1,0,0.4,1,0,0,0,0,0
AE,2/2/2022,0,0,0,1,1,0,0,0,0,0,0,0
DE,5/27/2022,1,0,0,1,1,0,1,0,0,0,0,0
US,8/6/2022,0,0,0,0,1,0,1,0,0,0,0,0
SG,1/6/2022,0,0,0,0,0,0,1,0,0,0,0,0
US,5/7/2022,0,0,0,1,0,0,1,0,0,0,0,0
CL,3/12/2022,0,0,0,0,1,0,0,0,0,0,0,0
US,1/11/2022,0,0,0,0,0,0.5,0,0,0,0,0,0
EG,8/19/2022,0,0,0,0,0,0,0,0,0,0,0,0
IN,2/14/2022,0,0,0,0,0,0,1,0,0,0,0,0
IQ,8/6/2022,0,0,0,0,0,0,0,0,0,0,0,0
EG,7/25/2022,0,0,0,0,0,7.2,0,0,0,0,0,0
CO,6/27/2022,0,0,0,1,1,0,0,0,0,0,0,0
DK,6/12/2022,1,0,0,1,0,4,0,0,0,0,0,0
US,9/23/2022,0,0,0,0,0,0,0,0,0,0,0,0
PT,6/19/2022,0,0,0,1,0,0.1,1,0,0,0,0,0
NG,9/4/2022,0,0,0,0,1,1.7,0,0,0,0,0,0
GB,9/15/2022,0,0,0,1,0,0,0,0,0,0,0,0
IN,3/3/2022,1,0,0,1,0,0,1,0,0,0,0,0
NL,4/24/2022,0,0,0,0,0,0,1,0,0,0,0,0
TR,6/12/2022,0,0,0,0,1,0,1,0,0,0,0,0
LB,7/29/2022,0,1,0,0,1,0.5,0,0,0,0,0,0
PT,4/25/2022,1,0,0,0,0,0,0,0,0,0,0,0
FR,3/31/2022,1,0,0,0,1,1.7,0,0,0,0,0,0
VN,3/31/2022,0,0,0,0,1,14.9,1,0,0,0,0,0
DZ,1/3/2022,0,0,0,0,1,0,1,0,0,0,0,0
IN,9/2/2022,1,0,0,0,1,0,1,0,0,0,0,0
FR,8/9/2022,0,0,0,0,1,0,1,0,0,0,0,0
IN,7/8/2022,1,0,0,0,0,0.1,0,0,0,0,0,0
ID,2/24/2022,0,0,0,0,1,0,1,0,0,0,0,0
EG,4/18/2022,0,0,0,0,0,0,1,0,0,0,0,0
PT,10/14/2022,1,0,0,1,1,0,0,0,0,0,0,0
ES,7/20/2022,0,0,0,1,1,0.8,1,0,0,0,0,0
IN,6/28/2022,0,0,0,0,0,1.3,0,0,0,0,0,0
PK,4/23/2022,0,0,0,1,0,0,0,0,0,0,0,0
DZ,2/1/2022,0,0,0,0,0,6.6,0,0,0,0,0,0
GB,6/13/2022,1,0,0,1,0,0,1,0,0,0,0,0
IN,9/2/2022,0,0,0,0,0,0.8,0,0,0,0,0,0
US,3/6/2022,0,0,0,1,0,0,1,0,0,0,0,0
IL,9/1/2022,0,0,0,0,1,1.3,0,0,0,0,0,0
US,8/3/2022,1,0,0,1,0,0,0,0,0,0,0,0
DE,3/17/2022,0,0,0,1,1,0.6,0,0,0,0,0,0
KE,5/14/2022,0,0,0,0,1,0,1,0,0,0,0,0
US,10/3/2022,0,0,0,0,1,0,0,0,0,0,0,0
NL,5/9/2022,1,0,0,0,0,0,0,0,0,0,0,0
SE,1/7/2022,0,1,0,0,1,0,0,0,0,0,0,0
LK,7/27/2022,0,0,0,0,0,0.2,0,0,0,0,0,0
CM,3/8/2022,0,0,0,1,1,1.1,0,0,0,0,0,0
GB,6/19/2022,0,0,0,1,1,2.8,1,0,0,0,0,0
US,4/1/2022,0,0,0,0,0,0,0,0,0,0,0,0
AU,10/16/2022,0,0,0,1,1,0,1,0,0,0,0,0
CA,2/23/2022,0,0,0,1,0,0,0,0,0,0,0,0
FR,7/26/2022,0,0,0,1,0,0.2,0,0,0,0,0,0
JO,8/4/2022,0,0,0,0,0,0,1,0,0,0,0,0
GB,3/17/2022,1,0,0,0,0,1.6,0,0,0,0,0,0
EG,6/19/2022,0,0,0,0,0,0,1,0,0,0,0,0
ID,5/31/2022,1,0,0,1,0,11,0,0,0,0,0,0
AE,10/5/2022,1,0,0,0,0,0,0,0,0,0,0,0
KE,1/30/2022,0,0,0,0,1,0,1,0,0,0,0,0
TN,7/13/2022,1,0,0,0,0,0.8,1,0,0,0,0,0
MA,2/8/2022,0,0,0,0,0,0,0,0,0,0,0,0
US,8/16/2022,1,0,0,0,0,0,0,0,0,0,0,0
IN,4/3/2022,0,0,0,1,0,0,0,0,0,0,0,0
PK,8/11/2022,0,0,0,0,1,0,0,0,0,0,0,0
BG,8/23/2022,0,0,0,1,0,0,0,0,0,0,0,0
NG,4/29/2022,0,0,0,0,0,1.1,0,0,0,0,0,0
VN,8/20/2022,1,0,0,0,0,0,0,0,0,0,0,0
EG,1/13/2022,0,0,0,0,0,0,1,0,0,0,0,0
GB,6/3/2022,1,0,0,1,0,0.1,0,0,0,0,0,0
US,3/6/2022,0,0,0,0,1,0,0,0,0,0,0,0
IT,9/17/2022,1,0,0,0,0,0,0,0,0,0,0,0
IN,6/30/2022,0,0,0,1,0,0,0,0,0,0,0,0
EG,8/13/2022,1,0,0,1,0,2.6,1,0,0,0,0,0
NG,7/30/2022,0,0,0,0,0,8.9,0,0,0,0,0,0
PK,2/22/2022,0,0,0,0,1,0,1,0,0,0,0,0
US,3/27/2022,0,0,0,0,0,1.1,0,0,0,0,0,0
EG,1/31/2022,1,0,0,1,0,0,1,0,0,0,0,0
BR,6/3/2022,0,0,0,0,1,0.6,1,0,0,0,0,0
US,7/31/2022,0,0,0,0,1,0,0,0,0,0,0,0
CM,9/11/2022,0,0,0,0,0,2.5,0,0,0,0,0,0
IN,1/14/2022,1,0,0,0,1,0.1,1,0,0,0,0,0
IN,2/15/2022,0,0,0,0,0,0,1,0,0,0,0,0
US,5/20/2022,1,0,0,0,0,0,0,0,0,0,0,0
TH,9/10/2022,0,0,0,0,0,4.7,0,0,0,0,0,0
GB,6/22/2022,0,0,0,1,0,0,0,0,0,0,0,0
FR,5/30/2022,0,0,0,0,1,0,1,0,0,0,0,0
IT,6/5/2022,0,0,0,0,0,11.7,0,0,0,0,0,0
GB,2/28/2022,0,0,0,1,1,0,0,0,0,0,0,0
IN,1/8/2022,0,0,0,0,1,0,0,0,0,0,0,0
NG,8/19/2022,0,0,0,0,0,0,1,0,0,0,0,0
US,5/15/2022,0,0,0,0,0,0,0,0,0,0,0,0
BG,10/1/2022,1,0,0,0,1,1.5,0,0,0,0,0,0
SD,2/25/2022,0,0,0,1,0,0,0,0,0,0,0,0
TR,2/21/2022,1,0,0,0,1,6.8,0,0,0,0,0,0
